"order item	product id	product specifications	brand name	category name	shop name	enlisted shop code	mrp	evaly price	seller price"
"Amazan 3 piece	amazan-3-piece/46870		Individual Collections	Salwar Kameez	amazan	amazan-bd-e-commarce-ltd	0.00	1840.00	1840.00"
"Rayban Scuderia Ferrari Design Men Sunglasses with exclusive box	kingseven-men-aluminum-hd-polarized-sunglasses/88049		Ray-Ban	Glasses for men	Rayyan's Point	rayyans-point	3670.00	2390.00	0.00"
"Acetate Sunglasses for Women - Blue	high-quality-smooth-buckle-synthetic-leather-male-belt/88055		Individual Collections	Glasses for women	Rayyan's Point	rayyans-point	0.00	0.00	2350.00"
" Alloy Sunglasses for Women - Black	pu-leather-belts-for-men/88056		Individual Collections	Glasses for women	Rayyan's Point	rayyans-point	0.00	0.00	2890.00"
"Metal Sunglasses for Women - Red	japanese-kimono-doll-style-anti-uv-rainproof-folding-bottle-umbrella/88058		Individual Collections	Glasses for women	Rayyan's Point	rayyans-point	0.00	0.00	2350.00"
"ELECTRONIC TOASTER	electronic-toaster/79620		Individual Collections	Kitchen Organizer	eshashop.com	eshashopcom	1500.00	1500.00	1500.00"
"Fruit and vegetable curving tools 	fruit-and-vegetable-curving-tools/51714		Individual Collections	Knife	amazan	amazan-bd-e-commarce-ltd	0.00	480.00	480.00"
"Cotton Hoodie for Men-Multicolor (J-5)	mens-hoodies-j-5/98163		Individual Collections	Men's Hoodies & Sweatshirts	MCS	mcs-1	900.00	500.00	900.00"
"PU Leather Handbag for Women - Black and Red	patchwork-color-luxury-quality-lady-handbagsshoulder-crossbody-bags/104643		Individual Collections	Leather Handbag	Rayyan's Point	rayyans-point	2550.00	1950.00	2550.00"

















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































